times,Series1,Series2,Series3,Series4,Series5,Series6,Series7,Series8,Series9,Series10,Series11,Series12,Series13,Series14,Series15,Series16,Series17,Series18,Series19,Series20,Series21,Series22,Series23,Series24,Series25,Series26,Series27,Series28,Series29,Series30,Series31,Series32,Series33,Series34,Series35,Series36,Series37,Series38,Series39,Series40,Series41,Series42,Series43,Series44,Series45,Series46,Series47,Series48,Series49,Series50,Series51,Series52,Series53,Series54,Series55,Series56,Series57,Series58,Series59,Series60,Series61,Series62,Series63,Series64,Series65,Series66,Series67,Series68,Series69,Series70,Series71,Series72,Series73,Series74,Series75,Series76,Series77,Series78,Series79,Series80,Series81,Series82,Series83,Series84,Series85,Series86,Series87,Series88,Series89,Series90,Series91,Series92,Series93,Series94,Series95
1991-02-26,208.8485446635187,206.01926119604184,210.37132045903712,209.09094312396297,204.44856878008042,211.94680666147144,207.4985040343068,209.90464065349255,220.3038339302438,226.24493817956176,225.86733987399634,224.16934992423555,221.91488502761405,223.72391329836577,227.27328985162669,219.89512194900038,218.96549296606665,215.34132439545593,212.08736792795077,209.89696617150489,210.4117008406068,215.22867796796663,213.22602178818468,211.92762926421076,214.2707422893438,211.6272829104823,215.80246909090397,209.6512293397949,212.70865813081528,205.71506062245336,210.75605189316656,207.96145734741845,211.7298555815678,211.448487245959,211.99629011282622,213.94690479162486,224.4942664220791,223.2854906879116,218.78592180551766,223.84531403076969,223.30093410310275,224.04299810430393,217.9190981737727,217.64762802443204,215.28916167431203,224.3015763957752,209.71943909625196,211.4244945817502,208.04304196863538,209.15897039266238,210.93055428746237,209.22574447535087,207.60621962665144,208.46115073647812,206.5975347010536,203.71747900986014,204.82980828199612,205.71770007667234,205.52379524383045,207.54019603781583,209.68235916687135,208.08451953590355,211.88827324979744,225.54877412680864,220.0920232654956,221.53058780285411,221.65111681305152,222.3234384814881,224.54689232099713,215.99428474318162,220.7494528802639,217.71055168968297,211.27722995639553,210.86207226142744,207.96512839006132,207.6077675748524,207.56218241130188,208.81042991428637,207.56801995353717,205.072458968372,205.6071879991666,205.64968174318093,203.9869355901272,204.33898659359997,205.3054965690661,209.45193929194355,207.99877067993057,209.47137095405867,210.35601371111386,212.33189198891705,223.75860720923168,218.30246580813406,222.53186017187733,220.8826919054765,224.51889628995775
1991-02-27,208.50312237713146,205.77475311559255,210.00220253298926,208.4557999339423,205.02567188166643,211.53603595472057,208.57640994371295,209.54229231280723,219.78080393516848,226.31583683242144,226.77126131906866,223.7417058685226,222.19590691665397,223.77440328091012,226.77359516120305,220.23740490934497,218.62239711443513,214.85236779806473,211.7515673638366,209.89451206307442,210.28881225661837,214.79291491662264,213.30998287190442,211.5403741742083,213.78288184993036,211.3737410108156,209.83225841886653,209.77029950325866,211.17481484887244,205.8734109706255,211.4925278574353,209.06486638891272,210.22502835272925,211.4153536764349,211.46591299398978,214.2514916649569,223.80039799373316,223.53877651897216,218.78592180551766,223.94232344691125,223.3818578933732,223.89572370458558,218.73472916100917,218.36823162580714,215.00991303848704,218.93380187910418,209.7948261830366,211.05739269041845,207.87888248824416,209.0871478286113,211.02147174266986,209.15290137940391,207.07314424205535,208.4590172219994,206.89385690310698,203.95570303067166,204.77859772569678,205.00787611876314,205.36212944195668,207.53498482775453,209.74902915046218,207.70327526457632,211.74464154989727,225.81956335501022,220.06565145461445,222.38016305270597,221.4477545823085,222.29082014379168,224.07051409102624,216.80812067636407,219.58518634958125,217.7285575081263,210.68997254494934,210.92186243903453,208.35402939727294,207.5261247300312,207.2948544810863,208.53774249417228,207.26861768714988,205.32142050357788,205.17759427632546,205.8973607599916,203.34135529714047,205.21452944784536,204.8924919716117,208.4739599332459,207.66549336081354,209.54145331754393,210.1615422381171,212.3963522689937,223.83354226108875,218.45889489352658,222.3166532790627,221.188373097633,224.50527260736044
1991-02-28,208.5805702470139,205.77475311559255,210.00220253298926,208.2007459005826,205.1460066074084,211.53603595472057,208.563282667113,209.54229231280723,219.78080393516848,226.2505534987138,226.77126131906866,223.76883367525053,222.19590691665397,223.77440328091012,226.77359516120305,220.23740490934497,218.24914538843439,214.79424445086116,211.7515673638366,209.89451206307442,210.28881225661837,214.75659233547597,213.30998287190442,211.4775869309538,213.70460738649268,210.7416415263754,210.12541729783837,210.13001956624893,208.8609580741808,206.13888468779388,214.41359033677892,208.84442389833902,211.30219697071405,211.4153536764349,211.26430510012463,214.2514916649569,224.32668489498147,223.98872593157893,218.78592180551766,223.94232344691125,223.3818578933732,223.72026234983693,218.10516774399218,217.26101724502425,214.70287964051127,218.4310585198407,209.7948261830366,211.28901729991935,207.87888248824416,209.0871478286113,210.75027307558264,209.14796607736096,207.04158328382027,208.33260730805912,206.36088618307625,202.79775084969447,204.77859772569678,205.11856523195317,205.83808763376206,207.22275448110614,209.74330230457105,206.72235798238822,211.74464154989727,225.81956335501022,220.06565145461445,222.25018266625025,221.69752887701497,222.29082014379168,224.42923273952442,216.4266076451558,219.4838981204476,217.31169249347724,210.63562646561604,210.92186243903453,208.35402939727294,207.5261247300312,207.28887554677252,208.2128787761733,207.79425760263135,205.74994234577778,204.60469162137227,205.55000780641447,203.2624113349748,205.58124334441416,204.8924919716117,208.01153900263066,207.34053815055015,209.8525320482163,210.63099464570212,212.27500819190058,223.83354226108875,218.00235701894331,222.3166532790627,221.188373097633,224.50527260736044
1991-03-01,208.85932598422008,205.77475311559255,210.00220253298926,208.212567590589,205.28126619394155,211.53603595472057,208.3190042496957,209.54229231280723,219.78080393516848,226.54078103238177,226.77126131906866,224.0654340987801,222.19590691665397,223.77440328091012,226.77359516120305,220.23740490934497,218.42050464749758,214.7873352006165,211.7515673638366,209.89451206307442,210.28881225661837,214.75356470406692,213.30998287190442,211.24591509693602,213.46030565149468,211.16103729012204,211.93652929219851,210.6927820520476,208.23141257136677,206.0800400098647,214.6784433133432,210.75705010117161,210.95270081933538,211.4153536764349,211.5349059314723,214.2514916649569,224.58858910822633,223.73651063927733,218.78592180551766,223.94232344691125,223.3818578933732,223.78243303116162,218.71859960732525,217.5579676687192,214.62919458947326,218.3839718017793,209.7948261830366,210.4359937870911,207.87888248824416,209.0871478286113,210.73833974103786,209.14763169829678,207.0397147036654,208.3968356495357,206.23099218570428,203.38356615461052,204.77859772569678,205.1861516064265,205.08632657787712,207.0443135439282,210.14850600040538,207.61643152417258,211.74464154989727,225.81956335501022,220.06565145461445,222.4833417904385,221.66449540175822,222.29082014379168,224.42923273952442,216.4266076451558,219.47508630194156,217.52272488421792,210.6305971611214,210.92186243903453,208.35402939727294,207.5261247300312,207.7100406879409,208.2128787761733,207.5859097059622,205.6780367390872,204.94342736756485,205.302567540746,203.2486669208298,205.85334716599203,204.8924919716117,208.70333512736127,207.71249818484776,209.859779441657,210.3227158213247,212.3912888222518,223.83354226108875,217.88215268405628,222.3166532790627,221.188373097633,224.50527260736044
1991-03-02,208.5628075408921,205.77475311559255,210.00220253298926,208.6530201933004,204.8203755583998,211.53603595472057,207.95186000978367,209.54229231280723,219.78080393516848,226.27411336997136,226.77126131906866,223.796550827032,222.19590691665397,223.77440328091012,226.77359516120305,220.23740490934497,218.42050464749758,214.78651388282873,211.7515673638366,209.89451206307442,210.28881225661837,214.75331233896347,213.30998287190442,211.34520141317915,213.66697026245942,211.16103729012204,211.97151693641325,210.4421695915753,210.62213683250835,206.15017700717488,212.61742356997843,209.44324424336403,210.8446806185862,211.4153536764349,211.53484346890434,214.2514916649569,224.58507367867654,223.7001894860401,218.78592180551766,223.94232344691125,223.3818578933732,223.87977991949379,218.1838500074345,217.98656090570606,214.6349594374355,218.379561680836,209.7948261830366,210.92764427891845,207.87888248824416,209.0871478286113,210.72889978616377,209.14760904327838,207.03960407357079,208.20535793906888,206.85037779898366,203.1518075753428,204.77859772569678,205.3651509802903,205.37395101879054,207.0046232526633,209.80347615164823,208.2241458901976,211.74464154989727,225.81956335501022,220.06565145461445,222.82971770923,221.6857469456795,222.29082014379168,224.42923273952442,216.4266076451558,219.47431969612717,217.52272488421792,210.63013173833448,210.92186243903453,208.35402939727294,207.5261247300312,207.75078963244562,208.2128787761733,207.86653231221473,205.633230194407,205.21873731384275,206.02811139763602,203.25094779434855,205.57836103788821,204.8924919716117,208.9271131795609,207.57205919854067,209.3219418467172,210.1997766106618,212.29604235272384,223.83354226108875,218.37117080216217,222.3166532790627,221.188373097633,224.50527260736044
1991-03-03,208.81777806405208,205.77475311559255,210.00220253298926,208.7010023452759,204.92368846052335,211.53603595472057,208.13585012476676,209.54229231280723,219.78080393516848,226.28791833079777,226.77126131906866,223.90242611593533,222.19590691665397,223.77440328091012,226.77359516120305,220.23740490934497,218.42050464749758,214.7864162509751,211.7515673638366,209.89451206307442,210.28881225661837,214.75329130332972,213.30998287190442,211.26781752384287,213.70764921500006,211.16103729012204,211.97151693641325,210.28198439458245,212.0050438780972,205.8129309860312,211.83553237693656,209.31602145342507,210.56948990490858,211.4153536764349,211.7337419469726,214.2514916649569,224.59764686442827,223.64202294862372,218.78592180551766,223.94232344691125,223.3818578933732,223.87977991949379,218.6565960603656,217.64764219173148,214.61107880411936,218.37914863088187,209.7948261830366,210.70927260820693,207.87888248824416,209.0871478286113,210.7279953192711,209.14760750834418,207.03959752366828,208.53943777677762,206.75074342485667,203.05940801332835,204.77859772569678,205.45097740215854,205.57592400060588,207.08510815956657,209.5373512178792,208.0712868939413,211.74464154989727,225.81956335501022,220.06565145461445,222.2858499912105,221.68971383780868,222.29082014379168,224.42923273952442,216.4266076451558,219.47425300336968,217.52272488421792,210.63008866709654,210.92186243903453,208.35402939727294,207.5261247300312,207.73937992349036,208.2128787761733,207.69229912900457,205.3556396864994,205.1541841788452,205.81710740428286,203.25530386519085,205.58097173073224,204.8924919716117,208.62520127981185,207.9810606029594,209.09384250955532,210.28844673728105,212.37605451145518,223.83354226108875,218.06005501099543,222.3166532790627,221.188373097633,224.50527260736044
1991-03-04,208.6669586371549,205.77475311559255,210.00220253298926,208.44172285967778,204.70928190113747,211.53603595472057,208.01703251319066,209.54229231280723,219.78080393516848,226.23400695501095,226.77126131906866,223.8345047352735,222.19590691665397,223.77440328091012,226.77359516120305,220.23740490934497,218.42050464749758,214.7864046452617,211.7515673638366,209.89451206307442,210.28881225661837,214.75328954992608,213.30998287190442,211.30951342373405,213.68560843985676,211.16103729012204,211.97151693641325,210.58894311643445,210.32166990451185,206.0551561307894,213.2648806861098,208.95731257273545,210.624279900779,211.4153536764349,211.4259424124793,214.2514916649569,224.54747179480512,223.5114531803446,218.78592180551766,223.94232344691125,223.3818578933732,223.87977991949379,218.2403250663866,218.0731402987518,214.62451503290464,218.379109944808,209.7948261830366,211.01163735855582,207.87888248824416,209.0871478286113,210.72763989841002,209.14760740434855,207.03959713587847,209.39124012954534,206.786430924782,203.29518379792464,204.77859772569678,205.6079159727856,205.3081585270555,207.08410260385673,209.31436343286433,208.97893015677303,211.74464154989727,225.81956335501022,220.06565145461445,222.42455253241735,221.70536974868054,222.29082014379168,224.42923273952442,216.4266076451558,219.4742472012693,217.52272488421792,210.63008468119043,210.92186243903453,208.35402939727294,207.5261247300312,207.71064393752104,208.2128787761733,207.77373665751173,205.70274937430898,205.49061875684097,205.5456360701233,203.44027041293106,205.57171572351245,204.8924919716117,208.47895279456512,207.40089786590747,210.22353450060035,210.0888814783218,212.30860269270354,223.83354226108875,217.96442007959382,222.3166532790627,221.188373097633,224.50527260736044
1991-03-05,208.76788086704798,205.77475311559255,210.00220253298926,208.38029275029427,205.08940649839124,211.53603595472057,208.12282441717218,209.54229231280723,219.78080393516848,226.44769783537043,226.77126131906866,223.69483812349378,222.19590691665397,223.77440328091012,226.77359516120305,220.23740490934497,218.42050464749758,214.786403265665,211.7515673638366,209.89451206307442,210.28881225661837,214.75328940377292,213.30998287190442,211.28366703756984,213.65616223043259,211.16103729012204,211.97151693641325,210.55024685855358,208.8491944956539,205.8754356772299,214.16595143724456,208.9425039204143,213.6363909050663,211.4153536764349,211.04828936228114,214.2514916649569,224.56466472354987,223.7724019746444,218.78592180551766,223.94232344691125,223.3818578933732,223.87977991949379,218.60711613393528,217.30810432075623,214.61337488818975,218.37910632148763,209.7948261830366,210.57106717046418,207.87888248824416,209.0871478286113,210.7275910997768,209.14760739730258,207.0395971129192,208.7091522465378,206.93552976702537,203.15765536267872,204.77859772569678,205.40215757866522,205.6279353516715,207.10369816671866,209.56495479665125,207.36800545015194,211.74464154989727,225.81956335501022,220.06565145461445,222.65793928209857,221.50093535930367,222.29082014379168,224.42923273952442,216.4266076451558,219.4742466965013,217.52272488421792,210.630084312326,210.92186243903453,208.35402939727294,207.5261247300312,207.7072686037803,208.2128787761733,207.7128804491145,205.44042473736246,205.66400517757577,205.61646201894325,203.27636609653925,205.55410621829492,204.8924919716117,210.2382309588457,207.68482371790688,209.75997345181057,209.98296647193843,212.3653971269373,223.83354226108875,218.1002370031323,222.3166532790627,221.188373097633,224.50527260736044
1991-03-06,208.390439756758,205.77475311559255,210.00220253298926,208.16940542835508,204.83941795846434,211.53603595472057,208.3308209494759,209.54229231280723,219.78080393516848,226.019016597878,226.77126131906866,223.52440134318334,222.19590691665397,223.77440328091012,226.77359516120305,220.23740490934497,218.42050464749758,214.7864031016693,211.7515673638366,209.89451206307442,210.28881225661837,214.75328939159047,213.30998287190442,211.29846561381893,213.7356085038693,211.16103729012204,211.97151693641325,210.6672022021391,209.69385592862326,206.01778889850735,213.34748862251848,209.07233450475115,210.32299925846573,211.4153536764349,211.269805068479,214.2514916649569,224.55221200655578,223.85523746514298,218.78592180551766,223.94232344691125,223.3818578933732,223.87977991949379,218.28397498505765,217.5787257926902,214.62117932451343,218.37910598212906,209.7948261830366,210.97498493822644,207.87888248824416,209.0871478286113,210.72757690900195,209.1476073968252,207.03959711155989,208.47452960851763,206.8191157007008,202.78945231859356,204.77859772569678,205.3100539315203,205.35408523802744,207.09500350887356,210.11979437111737,208.00786000430793,211.74464154989727,225.81956335501022,220.06565145461445,222.77665535375476,221.68319478487035,222.29082014379168,224.42923273952442,216.4266076451558,219.47424665258777,217.52272488421792,210.63008427819048,210.92186243903453,208.35402939727294,207.5261247300312,207.70851260293077,208.2128787761733,207.74532133646412,206.47081706603072,205.35966103589539,205.5923865355509,203.3093222059232,205.5021523387858,204.8924919716117,208.72221971075572,207.76896793466366,209.75325936916403,210.2693729492496,212.31757776485728,223.83354226108875,217.88504361199685,222.3166532790627,221.188373097633,224.50527260736044
1991-03-07,208.9816074366796,205.77475311559255,210.00220253298926,207.87341785668625,205.12094291645724,211.53603595472057,208.11536338726202,209.54229231280723,219.78080393516848,226.41624724631401,226.77126131906866,223.74574694824264,222.19590691665397,223.77440328091012,226.77359516120305,220.23740490934497,218.42050464749758,214.78640308217476,211.7515673638366,209.89451206307442,210.28881225661837,214.75328939057502,213.30998287190442,211.2896949721058,213.85794231241687,211.16103729012204,211.97151693641325,210.72821712201844,211.23921681308693,206.27449765742475,213.94320935970748,210.12949248427762,210.23006337885627,211.4153536764349,211.15748044798286,214.2514916649569,224.562655424375,223.6279647916211,218.78592180551766,223.94232344691125,223.3818578933732,223.87977991949379,218.56866939392526,217.46293282961017,214.61539971403025,218.3791059503449,209.7948261830366,211.79116909511058,207.87888248824416,209.0871478286113,210.72757454967274,209.14760739679286,207.0395971114794,208.45209212865063,207.038586630408,203.1158592431265,204.77859772569678,205.3778695649456,205.5489781611834,207.09448094593813,209.69026894898036,207.89035704686995,211.74464154989727,225.81956335501022,220.06565145461445,222.48164424813277,221.75999294324401,222.29082014379168,224.42923273952442,216.4266076451558,219.4742466487674,217.52272488421792,210.6300842750315,210.92186243903453,208.35402939727294,207.5261247300312,207.71066417948254,208.2128787761733,207.72512666213973,205.86155866022588,205.17997427788637,206.04299275440417,203.34440854937304,206.56717477630264,204.8924919716117,208.97952541177503,207.6097666799002,209.5076378404277,210.03331987827875,212.3578422321089,223.83354226108875,217.7944642744564,222.3166532790627,221.188373097633,224.50527260736044
